Date,AAPL,BAC,BTC-USD,C,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MSFT,NFLX,NKE,VOD
2000-02-29,1.0234379768371582,23.0,,388.125,50.46875,,,,56.5,53.08333206176758,31.75,44.6875,,3.554687976837158,66.9870376586914
2000-03-01,1.1635040044784546,22.78125,,387.1875,50.40625,,,,57.9375,54.66666793823242,31.25,45.40625,,3.515625,66.11329650878906
2000-03-02,1.089285969734192,22.53125,,386.25,50.625,,,,57.875,53.70833206176758,30.875,46.6875,,3.679687976837158,66.91423034667969
2000-03-03,1.1428569555282593,22.5,,400.78125,51.0,,,,59.625,54.08333206176758,32.3125,48.0625,,3.671875,69.75389862060547
2000-03-06,1.1222100257873535,22.25,,391.40625,50.5,,,,58.6875,55.625,31.5625,45.3125,,3.5625,71.9382553100586
2000-03-07,1.0970979928970337,22.0,,377.8125,50.9375,,,,57.875,54.54166793823242,29.875,46.4375,,3.484375,70.0451431274414
2000-03-08,1.089285969734192,21.8125,,378.75,53.0,,,,57.46875,52.66666793823242,30.75,47.78125,,3.40625,72.30231475830078
2000-03-09,1.0915180444717407,21.53125,,377.8125,50.625,,,,59.1875,54.08333206176758,32.0,50.0,,3.34375,73.4673080444336
2000-03-10,1.1227680444717407,21.4375,,367.5,51.125,,,,60.09375,52.45833206176758,31.75,50.5,,3.359375,72.08387756347656
2000-03-13,1.0831470489501953,21.59375,,374.53125,51.03125,,,,61.0625,53.375,32.4375,49.0,,3.59375,71.06451416015625
2000-03-14,1.020089030265808,21.3125,,373.125,51.6875,,,,58.9375,52.66666793823242,30.5,47.5625,,3.609375,68.29765319824219
2000-03-15,1.0379459857940674,22.9375,,391.875,52.0,,,,60.09375,55.41666793823242,32.5,47.6875,,4.125,65.23954772949219
2000-03-16,1.0853790044784546,24.625,,420.9375,52.0,,,,62.53125,60.08333206176758,34.0625,47.6875,,4.46875,68.00640869140625
2000-03-17,1.1160709857940674,25.0,,427.5,51.75,,,,64.9375,60.66666793823242,33.8125,49.6875,,4.25,68.5160903930664
2000-03-20,1.098214030265808,24.8125,,421.40625,51.4375,,,,67.5,57.70833206176758,34.5625,48.6875,,4.125,71.71981811523438
2000-03-21,1.2047990560531616,25.5,,435.46875,51.4375,,,,69.21875,61.33333206176758,35.25,51.375,,4.140625,70.62763977050781
2000-03-22,1.2873879671096802,25.71875,,440.625,52.125,,,,72.03125,61.04166793823242,35.25,51.625,,4.21875,68.37046813964844
2000-03-23,1.261718988418579,27.09375,,462.65625,52.75,,,,71.3125,65.66666412353516,35.1875,55.9375,,4.25,69.89952087402344
2000-03-24,1.238281011581421,27.3125,,454.21875,51.5625,,,,69.53125,64.125,34.8125,55.84375,,4.234375,68.8801498413086
2000-03-27,1.246093988418579,27.0625,,450.46875,51.4375,,,,71.34375,63.125,34.75,52.03125,,4.492187976837158,68.37046813964844
2000-03-28,1.2421879768371582,26.78125,,457.5,51.75,,,,67.84375,62.83333206176758,35.125,52.15625,,4.601562976837158,68.44327545166016
2000-03-29,1.2137279510498047,26.0,,455.625,51.625,,,,65.9375,60.25,36.8125,53.59375,,4.875,66.404541015625
2000-03-30,1.1227680444717407,25.40625,,457.5,52.125,,,,63.5,58.0,37.625,51.6875,,4.835937976837158,64.22018432617188
2000-03-31,1.2126120328903198,26.21875,,449.0625,52.9375,,,,65.96875,58.125,37.375,53.125,,4.953125,64.72986602783203
2000-04-03,1.1902899742126465,27.75,,465.0,51.25,,,,65.3125,61.66666793823242,38.5,45.4375,,5.0,64.65705871582031
2000-04-04,1.136718988418579,27.09375,,442.5,52.0,,,,66.375,57.83333206176758,38.53125,44.28125,,4.867187976837158,60.65239715576172
2000-04-05,1.1640629768371582,27.0,,440.15625,51.9375,,,,64.9375,57.58333206176758,38.5625,43.1875,,4.898437976837158,60.506771087646484
2000-04-06,1.1177459955215454,26.71875,,444.84375,51.875,,,,64.90625,58.29166793823242,37.0,43.0,,5.195312976837158,64.14736938476562
2000-04-07,1.176339030265808,26.15625,,442.5,50.25,,,,68.40625,57.58333206176758,37.0,44.53125,,5.367187976837158,65.9676742553711
2000-04-10,1.1160709857940674,26.40625,,466.875,50.5,,,,65.5625,58.75,36.375,43.03125,,5.375,61.45332717895508
2000-04-11,1.066406011581421,26.171875,,475.78125,50.125,,,,65.375,57.33333206176758,37.6875,41.9375,,5.640625,59.851463317871094
2000-04-12,0.9754459857940674,27.28125,,472.5,50.0,,,,60.9375,57.875,36.3125,39.6875,,5.554687976837158,57.23023223876953
