Date,AAPL,BAC,BTC-USD,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MS,MSFT,NFLX,NKE,VOD
1980-04-09,,1.5625,,6.25,,,,0.3059900104999542,5.370369911193848,1.0246909856796265,,,,,
1980-04-10,,1.625,,6.25,,,,0.3046880066394806,5.481481075286865,1.0216050148010254,,,,,
1980-04-11,,1.625,,6.25,,,,0.3046880066394806,5.481481075286865,1.0092589855194092,,,,,
1980-04-14,,1.625,,6.375,,,,0.30729201436042786,5.462963104248047,1.0,,,,,
1980-04-15,,1.59375,,6.375,,,,0.3033849895000458,5.3333330154418945,0.9969140291213989,,,,,
1980-04-16,,1.640625,,6.375,,,,0.29166701436042786,5.425926208496094,0.9969140291213989,,,,,
1980-04-17,,1.6875,,6.375,,,,0.28645798563957214,5.3333330154418945,0.9969140291213989,,,,,
1980-04-18,,1.6875,,6.375,,,,0.2903650104999542,5.296296119689941,0.9969140291213989,,,,,
1980-04-21,,1.6875,,6.375,,,,0.2877599895000458,5.1666669845581055,0.9938269853591919,,,,,
1980-04-22,,1.6875,,6.5,,,,0.3007810115814209,5.3333330154418945,1.0370370149612427,,,,,
1980-04-23,,1.703125,,6.5,,,,0.3190099895000458,5.3333330154418945,1.058642029762268,,,,,
1980-04-24,,1.703125,,6.625,,,,0.3203130066394806,5.296296119689941,1.055556058883667,,,,,
1980-04-25,,1.6875,,6.625,,,,0.31510400772094727,5.222221851348877,1.0432100296020508,,,,,
1980-04-28,,1.703125,,6.625,,,,0.3125,5.3333330154418945,1.0216050148010254,,,,,
1980-04-29,,1.703125,,6.625,,,,0.31510400772094727,5.351851940155029,1.0246909856796265,,,,,
1980-04-30,,1.6875,,6.625,,,,0.3190099895000458,5.407406806945801,1.05246901512146,,,,,
1980-05-01,,1.703125,,6.625,,,,0.3203130066394806,5.5,1.0617280006408691,,,,,
1980-05-02,,1.703125,,6.625,,,,0.32552099227905273,5.555555820465088,1.0833330154418945,,,,,
1980-05-05,,1.765625,,6.625,,,,0.32942700386047363,5.851851940155029,1.1080249547958374,,,,,
1980-05-06,,1.78125,,6.625,,,,0.328125,5.759259223937988,1.0956790447235107,,,,,
1980-05-07,,1.890625,,6.75,,,,0.328125,5.851851940155029,1.10493803024292,,,,,
1980-05-08,,1.84375,,6.75,,,,0.3242189884185791,5.8333330154418945,1.0864200592041016,,,,,
1980-05-09,,1.796875,,6.75,,,,0.328125,5.796296119689941,1.0864200592041016,,,,,
1980-05-12,,1.75,,6.75,,,,0.32682299613952637,5.777778148651123,1.0987650156021118,,,,,
1980-05-13,,1.75,,6.75,,,,0.33333298563957214,5.759259223937988,1.1296299695968628,,,,,
1980-05-14,,1.78125,,6.75,,,,0.33854201436042786,5.777778148651123,1.1512349843978882,,,,,
1980-05-15,,1.75,,6.75,,,,0.34114599227905273,5.759259223937988,1.1543209552764893,,,,,
1980-05-16,,1.75,,7.0,,,,0.34505200386047363,5.740740776062012,1.1543209552764893,,,,,
1980-05-19,,1.71875,,7.75,,,,0.34635400772094727,5.870369911193848,1.1574070453643799,,,,,
1980-05-20,,1.765625,,7.5,,,,0.34244799613952637,5.759259223937988,1.1697529554367065,,,,,
1980-05-21,,1.734375,,7.375,,,,0.3346349895000458,5.722221851348877,1.1666669845581055,,,,,
1980-05-22,,1.75,,7.5,,,,0.33072900772094727,5.777778148651123,1.1635799407958984,,,,,
1980-05-23,,1.765625,,7.5,,,,0.34244799613952637,5.851851940155029,1.1820989847183228,,,,,
1980-05-27,,1.765625,,7.5,,,,0.34114599227905273,5.796296119689941,1.1635799407958984,,,,,
1980-05-28,,1.765625,,7.25,,,,0.34895798563957214,5.888888835906982,1.1666669845581055,,,,,
1980-05-29,,1.765625,,7.25,,,,0.34895798563957214,5.814815044403076,1.1543209552764893,,,,,
1980-05-30,,1.796875,,7.125,,,,0.35416701436042786,5.796296119689941,1.1574070453643799,,,,,
1980-06-02,,1.78125,,7.125,,,,0.3554689884185791,5.759259223937988,1.1543209552764893,,,,,
1980-06-03,,1.765625,,7.25,,,,0.34635400772094727,5.796296119689941,1.14506196975708,,,,,
1980-06-04,,1.765625,,7.25,,,,0.3515630066394806,5.944444179534912,1.1666669845581055,,,,,
1980-06-05,,1.8125,,7.25,,,,0.3515630066394806,5.925926208496094,1.1574070453643799,,,,,
1980-06-06,,1.8125,,7.375,,,,0.34895798563957214,6.222221851348877,1.1635799407958984,,,,,
1980-06-09,,1.84375,,7.375,,,,0.34635400772094727,5.925926208496094,1.1820989847183228,,,,,
1980-06-10,,1.8125,,7.5,,,,0.3502599895000458,6.018518924713135,1.1882719993591309,,,,,
1980-06-11,,1.8125,,7.375,,,,0.35416701436042786,6.129630088806152,1.2129629850387573,,,,,
1980-06-12,,1.78125,,7.375,,,,0.34895798563957214,6.111111164093018,1.2191359996795654,,,,,
1980-06-13,,1.796875,,7.375,,,,0.34895798563957214,6.370369911193848,1.2222219705581665,,,,,
1980-06-16,,1.828125,,7.375,,,,0.34895798563957214,6.148148059844971,1.243826985359192,,,,,
1980-06-17,,1.84375,,7.375,,,,0.3476560115814209,6.148148059844971,1.253085970878601,,,,,
1980-06-18,,1.765625,,7.375,,,,0.34505200386047363,6.018518924713135,1.2283949851989746,,,,,
1980-06-19,,1.734375,,7.375,,,,0.33854201436042786,5.814815044403076,1.191357970237732,,,,,
1980-06-20,,1.71875,,7.375,,,,0.3398439884185791,5.777778148651123,1.2067899703979492,,,,,
1980-06-23,,1.75,,7.375,,,,0.3398439884185791,5.759259223937988,1.2222219705581665,,,,,
1980-06-24,,1.75,,7.375,,,,0.3398439884185791,5.925926208496094,1.2222219705581665,,,,,
1980-06-25,,1.75,,7.375,,,,0.34375,5.944444179534912,1.2376539707183838,,,,,
1980-06-26,,1.78125,,7.375,,,,0.34375,5.925926208496094,1.2129629850387573,,,,,
1980-06-27,,1.828125,,7.375,,,,0.34505200386047363,5.944444179534912,1.2129629850387573,,,,,
1980-06-30,,1.84375,,7.5,,,,0.34244799613952637,5.925926208496094,1.191357970237732,,,,,
1980-07-01,,1.84375,,7.375,,,,0.3476560115814209,5.925926208496094,1.2037039995193481,,,,,
1980-07-02,,1.921875,,7.375,,,,0.3502599895000458,5.944444179534912,1.1851849555969238,,,,,
1980-07-03,,1.921875,,7.375,,,,0.3528650104999542,5.962963104248047,1.191357970237732,,,,,
1980-07-07,,1.953125,,7.375,,,,0.3658849895000458,5.962963104248047,1.19753098487854,,,,,
1980-07-08,,2.0,,7.375,,,,0.37369799613952637,5.962963104248047,1.2067899703979492,,,,,
1980-07-09,,1.984375,,7.375,,,,0.37369799613952637,5.944444179534912,1.2037039995193481,,,,,
1980-07-10,,1.953125,,7.375,,,,0.3789060115814209,6.0,1.1790119409561157,,,,,
1980-07-11,,2.0,,7.375,,,,0.37760400772094727,6.018518924713135,1.1851849555969238,,,,,
1980-07-14,,1.984375,,7.375,,,,0.3815099895000458,6.222221851348877,1.2129629850387573,,,,,
1980-07-15,,2.0,,7.625,,,,0.39322900772094727,6.148148059844971,1.2253090143203735,,,,,
1980-07-16,,2.03125,,8.25,,,,0.3997400104999542,6.240740776062012,1.2191359996795654,,,,,
1980-07-17,,2.015625,,7.75,,,,0.40885400772094727,6.277778148651123,1.2098770141601562,,,,,
1980-07-18,,2.0625,,8.0,,,,0.41927099227905273,6.3333330154418945,1.194443941116333,,,,,
1980-07-21,,2.0,,8.0,,,,0.41927099227905273,6.648148059844971,1.1666669845581055,,,,,
1980-07-22,,1.984375,,8.5,,,,0.4140630066394806,6.407406806945801,1.1728399991989136,,,,,
1980-07-23,,1.953125,,8.5,,,,0.4101560115814209,6.240740776062012,1.1851849555969238,,,,,
1980-07-24,,1.875,,8.375,,,,0.40755200386047363,6.277778148651123,1.1419750452041626,,,,,
1980-07-25,,1.890625,,8.125,,,,0.40364599227905273,6.203703880310059,1.1172840595245361,,,,,
1980-07-28,,1.9375,,8.125,,,,0.40755200386047363,6.148148059844971,1.1234569549560547,,,,,
1980-07-29,,2.0,,8.125,,,,0.4257810115814209,6.185184955596924,1.1820989847183228,,,,,
1980-07-30,,2.03125,,8.375,,,,0.43880200386047363,6.203703880310059,1.1820989847183228,,,,,
1980-07-31,,1.9375,,8.375,,,,0.4414060115814209,6.203703880310059,1.1543209552764893,,,,,
1980-08-01,,1.96875,,8.75,,,,0.43489599227905273,6.148148059844971,1.1296299695968628,,,,,
1980-08-04,,2.015625,,8.625,,,,0.4414060115814209,6.092593193054199,1.1296299695968628,,,,,
1980-08-05,,2.0,,8.625,,,,0.4440099895000458,6.018518924713135,1.1296299695968628,,,,,
1980-08-06,,1.984375,,8.625,,,,0.44010400772094727,6.055555820465088,1.1296299695968628,,,,,
1980-08-07,,2.03125,,8.625,,,,0.4453130066394806,6.148148059844971,1.1728399991989136,,,,,
1980-08-08,,1.984375,,8.625,,,,0.45182299613952637,6.111111164093018,1.2098770141601562,,,,,
1980-08-11,,2.015625,,8.375,,,,0.4804689884185791,6.074073791503906,1.2623460292816162,,,,,
1980-08-12,,1.984375,,8.375,,,,0.48177099227905273,6.092593193054199,1.2592589855194092,,,,,
1980-08-13,,1.921875,,8.25,,,,0.4726560115814209,6.055555820465088,1.2345679998397827,,,,,
1980-08-14,,1.953125,,8.375,,,,0.4726560115814209,6.074073791503906,1.2746909856796265,,,,,
1980-08-15,,1.984375,,8.5,,,,0.46614599227905273,6.222221851348877,1.2407410144805908,,,,,
